hover_red_p  0.0 0.0 0.0 0.0 0.0 0.0
hover_blue_p  0.0 0.0 0.0 0.0 0.0 0.0
pick_red_p  0.0 0.0 0.0 0.0 0.0 0.0
pick_blue_p  0.0 0.0 0.0 0.0 0.0 0.0
col_1_way  0.0 0.0 0.0 0.0 0.0 0.0
col_2_way  0.0 0.0 0.0 0.0 0.0 0.0
col_3_way  0.0 0.0 0.0 0.0 0.0 0.0
col_4_way  0.0 0.0 0.0 0.0 0.0 0.0
col_5_way  0.0 0.0 0.0 0.0 0.0 0.0
col_6_way  0.0 0.0 0.0 0.0 0.0 0.0
col_7_way  0.0 0.0 0.0 0.0 0.0 0.0
col_1  0.0 0.0 0.0 0.0 0.0 0.0
col_2  0.0 0.0 0.0 0.0 0.0 0.0
col_3  0.0 0.0 0.0 0.0 0.0 0.0
col_4  0.0 0.0 0.0 0.0 0.0 0.0
col_5  0.0 0.0 0.0 0.0 0.0 0.0
col_6  0.0 0.0 0.0 0.0 0.0 0.0
col_7  0.0 0.0 0.0 0.0 0.0 0.0
